id,title,author,text,label
34,Aliens spotted in downtown New York,Sarah Davis,Scientists now admit that all space missions were staged and Earth is indeed flat.,1
35,Government hiding evidence of UFO crash,John Smith,He revealed in an interview that he came from the year 3020 to warn humanity about future wars.,1
36,Government hiding evidence of UFO crash,James Lewis,The herb has been kept secret by monks for centuries and can heal any disease instantly.,1
37,New species of bird discovered in the Amazon rainforest,James Lewis,NASA confirmed that the new exoplanet discovered is located 300 light-years away and has similar conditions to Earth.,0
38,Scientists confirm Earth is flat again,John Smith,Eyewitnesses report bright lights and strange figures in the city sky last night.,1
39,New species of bird discovered in the Amazon rainforest,David Wilson,Experts say the stock market growth is due to innovation in the technology sector.,0
40,NASA discovers new exoplanet similar to Earth,David Wilson,"The discovery adds to the biodiversity of the Amazon, researchers say.",0
41,Local schools adopt AI-based learning programs,Olivia Walker,Schools are now integrating AI models to enhance personalized education for students.,0
42,Cure for cancer found using secret ancient herb,John Smith,He revealed in an interview that he came from the year 3020 to warn humanity about future wars.,1
43,Government announces new healthcare reform,David Wilson,Schools are now integrating AI models to enhance personalized education for students.,0
44,Scientists confirm Earth is flat again,Sarah Davis,The herb has been kept secret by monks for centuries and can heal any disease instantly.,1
45,Scientists confirm Earth is flat again,John Smith,The herb has been kept secret by monks for centuries and can heal any disease instantly.,1
46,Celebrity claims to be time traveler from 3020,Sarah Davis,Eyewitnesses report bright lights and strange figures in the city sky last night.,1
47,Government hiding evidence of UFO crash,Michael Brown,The herb has been kept secret by monks for centuries and can heal any disease instantly.,1
48,Government hiding evidence of UFO crash,Michael Brown,Eyewitnesses report bright lights and strange figures in the city sky last night.,1
49,New species of bird discovered in the Amazon rainforest,Laura Clark,The recent policy changes have been aimed at improving the overall efficiency of the healthcare system.,0
50,NASA discovers new exoplanet similar to Earth,Laura Clark,Experts say the stock market growth is due to innovation in the technology sector.,0
51,Cure for cancer found using secret ancient herb,Olivia Walker,Scientists now admit that all space missions were staged and Earth is indeed flat.,1
52,Cure for cancer found using secret ancient herb,John Smith,Eyewitnesses report bright lights and strange figures in the city sky last night.,1
53,Cure for cancer found using secret ancient herb,David Wilson,Eyewitnesses report bright lights and strange figures in the city sky last night.,1
54,Scientists confirm Earth is flat again,James Lewis,Scientists now admit that all space missions were staged and Earth is indeed flat.,1
55,Government announces new healthcare reform,David Wilson,"The discovery adds to the biodiversity of the Amazon, researchers say.",0
56,Cure for cancer found using secret ancient herb,Michael Brown,A leaked document reveals that the government has hidden alien spacecraft since the 1950s.,1
57,NASA discovers new exoplanet similar to Earth,James Lewis,The recent policy changes have been aimed at improving the overall efficiency of the healthcare system.,0
58,Scientists confirm Earth is flat again,Laura Clark,The herb has been kept secret by monks for centuries and can heal any disease instantly.,1
59,Government announces new healthcare reform,John Smith,The recent policy changes have been aimed at improving the overall efficiency of the healthcare system.,0
60,Government announces new healthcare reform,Laura Clark,Experts say the stock market growth is due to innovation in the technology sector.,0
61,Cure for cancer found using secret ancient herb,Michael Brown,He revealed in an interview that he came from the year 3020 to warn humanity about future wars.,1
62,Aliens spotted in downtown New York,Laura Clark,Eyewitnesses report bright lights and strange figures in the city sky last night.,1
63,New species of bird discovered in the Amazon rainforest,John Smith,Experts say the stock market growth is due to innovation in the technology sector.,0
64,Stock markets hit record highs amid tech boom,John Smith,The recent policy changes have been aimed at improving the overall efficiency of the healthcare system.,0
65,Government hiding evidence of UFO crash,Michael Brown,He revealed in an interview that he came from the year 3020 to warn humanity about future wars.,1
66,New species of bird discovered in the Amazon rainforest,Sarah Davis,Experts say the stock market growth is due to innovation in the technology sector.,0
67,Aliens spotted in downtown New York,David Wilson,The herb has been kept secret by monks for centuries and can heal any disease instantly.,1
68,Government announces new healthcare reform,Michael Brown,"The discovery adds to the biodiversity of the Amazon, researchers say.",0
69,NASA discovers new exoplanet similar to Earth,Michael Brown,Schools are now integrating AI models to enhance personalized education for students.,0
70,Scientists confirm Earth is flat again,Olivia Walker,The herb has been kept secret by monks for centuries and can heal any disease instantly.,1
71,Celebrity claims to be time traveler from 3020,Olivia Walker,Scientists now admit that all space missions were staged and Earth is indeed flat.,1
72,Government announces new healthcare reform,John Smith,The recent policy changes have been aimed at improving the overall efficiency of the healthcare system.,0
73,Celebrity claims to be time traveler from 3020,James Lewis,Scientists now admit that all space missions were staged and Earth is indeed flat.,1
74,Stock markets hit record highs amid tech boom,Sarah Davis,"The discovery adds to the biodiversity of the Amazon, researchers say.",0
75,Local schools adopt AI-based learning programs,Olivia Walker,Schools are now integrating AI models to enhance personalized education for students.,0
76,Government hiding evidence of UFO crash,Sarah Davis,A leaked document reveals that the government has hidden alien spacecraft since the 1950s.,1
77,Local schools adopt AI-based learning programs,David Wilson,Schools are now integrating AI models to enhance personalized education for students.,0
78,Local schools adopt AI-based learning programs,David Wilson,The recent policy changes have been aimed at improving the overall efficiency of the healthcare system.,0
79,Stock markets hit record highs amid tech boom,Sarah Davis,NASA confirmed that the new exoplanet discovered is located 300 light-years away and has similar conditions to Earth.,0
80,Cure for cancer found using secret ancient herb,Sarah Davis,The herb has been kept secret by monks for centuries and can heal any disease instantly.,1
81,Scientists confirm Earth is flat again,Olivia Walker,Scientists now admit that all space missions were staged and Earth is indeed flat.,1
82,Stock markets hit record highs amid tech boom,Olivia Walker,Schools are now integrating AI models to enhance personalized education for students.,0
83,Cure for cancer found using secret ancient herb,John Smith,Eyewitnesses report bright lights and strange figures in the city sky last night.,1
84,Local schools adopt AI-based learning programs,Laura Clark,Experts say the stock market growth is due to innovation in the technology sector.,0
85,Scientists confirm Earth is flat again,Emily Johnson,Scientists now admit that all space missions were staged and Earth is indeed flat.,1
86,Scientists confirm Earth is flat again,Sarah Davis,He revealed in an interview that he came from the year 3020 to warn humanity about future wars.,1
87,Celebrity claims to be time traveler from 3020,Michael Brown,He revealed in an interview that he came from the year 3020 to warn humanity about future wars.,1
88,Aliens spotted in downtown New York,Olivia Walker,A leaked document reveals that the government has hidden alien spacecraft since the 1950s.,1
89,Cure for cancer found using secret ancient herb,James Lewis,He revealed in an interview that he came from the year 3020 to warn humanity about future wars.,1
90,Government announces new healthcare reform,Emily Johnson,Schools are now integrating AI models to enhance personalized education for students.,0
91,Celebrity claims to be time traveler from 3020,Olivia Walker,A leaked document reveals that the government has hidden alien spacecraft since the 1950s.,1
92,Stock markets hit record highs amid tech boom,Michael Brown,The recent policy changes have been aimed at improving the overall efficiency of the healthcare system.,0
93,Celebrity claims to be time traveler from 3020,Michael Brown,He revealed in an interview that he came from the year 3020 to warn humanity about future wars.,1
94,NASA discovers new exoplanet similar to Earth,James Lewis,"The discovery adds to the biodiversity of the Amazon, researchers say.",0
95,Stock markets hit record highs amid tech boom,Sarah Davis,NASA confirmed that the new exoplanet discovered is located 300 light-years away and has similar conditions to Earth.,0
96,Scientists confirm Earth is flat again,Sarah Davis,A leaked document reveals that the government has hidden alien spacecraft since the 1950s.,1
97,Government announces new healthcare reform,Emily Johnson,Experts say the stock market growth is due to innovation in the technology sector.,0
98,Aliens spotted in downtown New York,Michael Brown,A leaked document reveals that the government has hidden alien spacecraft since the 1950s.,1
99,Scientists confirm Earth is flat again,Sarah Davis,The herb has been kept secret by monks for centuries and can heal any disease instantly.,1
100,Government announces new healthcare reform,Sarah Davis,Schools are now integrating AI models to enhance personalized education for students.,0
101,Local schools adopt AI-based learning programs,Laura Clark,Schools are now integrating AI models to enhance personalized education for students.,0
102,Scientists confirm Earth is flat again,Michael Brown,A leaked document reveals that the government has hidden alien spacecraft since the 1950s.,1
103,Stock markets hit record highs amid tech boom,James Lewis,Experts say the stock market growth is due to innovation in the technology sector.,0
104,Cure for cancer found using secret ancient herb,Olivia Walker,Eyewitnesses report bright lights and strange figures in the city sky last night.,1
105,Government hiding evidence of UFO crash,Michael Brown,He revealed in an interview that he came from the year 3020 to warn humanity about future wars.,1
106,Government hiding evidence of UFO crash,Emily Johnson,The herb has been kept secret by monks for centuries and can heal any disease instantly.,1
107,Stock markets hit record highs amid tech boom,James Lewis,"The discovery adds to the biodiversity of the Amazon, researchers say.",0
108,NASA discovers new exoplanet similar to Earth,Olivia Walker,NASA confirmed that the new exoplanet discovered is located 300 light-years away and has similar conditions to Earth.,0
109,Aliens spotted in downtown New York,David Wilson,Eyewitnesses report bright lights and strange figures in the city sky last night.,1
110,Government hiding evidence of UFO crash,John Smith,A leaked document reveals that the government has hidden alien spacecraft since the 1950s.,1
111,New species of bird discovered in the Amazon rainforest,David Wilson,"The discovery adds to the biodiversity of the Amazon, researchers say.",0
112,Stock markets hit record highs amid tech boom,David Wilson,Schools are now integrating AI models to enhance personalized education for students.,0
113,Government announces new healthcare reform,Emily Johnson,The recent policy changes have been aimed at improving the overall efficiency of the healthcare system.,0
114,Aliens spotted in downtown New York,Emily Johnson,The herb has been kept secret by monks for centuries and can heal any disease instantly.,1
115,Stock markets hit record highs amid tech boom,Sarah Davis,NASA confirmed that the new exoplanet discovered is located 300 light-years away and has similar conditions to Earth.,0
116,New species of bird discovered in the Amazon rainforest,Olivia Walker,Schools are now integrating AI models to enhance personalized education for students.,0
117,Aliens spotted in downtown New York,Sarah Davis,Eyewitnesses report bright lights and strange figures in the city sky last night.,1
118,Celebrity claims to be time traveler from 3020,Sarah Davis,A leaked document reveals that the government has hidden alien spacecraft since the 1950s.,1
119,Stock markets hit record highs amid tech boom,David Wilson,Experts say the stock market growth is due to innovation in the technology sector.,0
120,NASA discovers new exoplanet similar to Earth,Laura Clark,The recent policy changes have been aimed at improving the overall efficiency of the healthcare system.,0
121,Cure for cancer found using secret ancient herb,Laura Clark,The herb has been kept secret by monks for centuries and can heal any disease instantly.,1
122,Government hiding evidence of UFO crash,John Smith,Eyewitnesses report bright lights and strange figures in the city sky last night.,1
123,Government hiding evidence of UFO crash,David Wilson,Eyewitnesses report bright lights and strange figures in the city sky last night.,1
124,Aliens spotted in downtown New York,Laura Clark,The herb has been kept secret by monks for centuries and can heal any disease instantly.,1
125,Government announces new healthcare reform,Michael Brown,NASA confirmed that the new exoplanet discovered is located 300 light-years away and has similar conditions to Earth.,0
126,Stock markets hit record highs amid tech boom,David Wilson,The recent policy changes have been aimed at improving the overall efficiency of the healthcare system.,0
127,Aliens spotted in downtown New York,Michael Brown,The herb has been kept secret by monks for centuries and can heal any disease instantly.,1
128,Local schools adopt AI-based learning programs,James Lewis,NASA confirmed that the new exoplanet discovered is located 300 light-years away and has similar conditions to Earth.,0
129,Aliens spotted in downtown New York,Laura Clark,The herb has been kept secret by monks for centuries and can heal any disease instantly.,1
130,Local schools adopt AI-based learning programs,Emily Johnson,Schools are now integrating AI models to enhance personalized education for students.,0
131,Government hiding evidence of UFO crash,Olivia Walker,A leaked document reveals that the government has hidden alien spacecraft since the 1950s.,1
132,Aliens spotted in downtown New York,Laura Clark,A leaked document reveals that the government has hidden alien spacecraft since the 1950s.,1
133,Scientists confirm Earth is flat again,David Wilson,The herb has been kept secret by monks for centuries and can heal any disease instantly.,1
134,Government announces new healthcare reform,Emily Johnson,Schools are now integrating AI models to enhance personalized education for students.,0
135,New species of bird discovered in the Amazon rainforest,James Lewis,Schools are now integrating AI models to enhance personalized education for students.,0
136,Local schools adopt AI-based learning programs,Olivia Walker,The recent policy changes have been aimed at improving the overall efficiency of the healthcare system.,0
137,Scientists confirm Earth is flat again,Olivia Walker,He revealed in an interview that he came from the year 3020 to warn humanity about future wars.,1
138,Cure for cancer found using secret ancient herb,David Wilson,A leaked document reveals that the government has hidden alien spacecraft since the 1950s.,1
139,Cure for cancer found using secret ancient herb,Laura Clark,Eyewitnesses report bright lights and strange figures in the city sky last night.,1
140,Scientists confirm Earth is flat again,Olivia Walker,The herb has been kept secret by monks for centuries and can heal any disease instantly.,1
141,Cure for cancer found using secret ancient herb,Michael Brown,He revealed in an interview that he came from the year 3020 to warn humanity about future wars.,1
142,New species of bird discovered in the Amazon rainforest,John Smith,"The discovery adds to the biodiversity of the Amazon, researchers say.",0
143,Stock markets hit record highs amid tech boom,James Lewis,NASA confirmed that the new exoplanet discovered is located 300 light-years away and has similar conditions to Earth.,0
144,Celebrity claims to be time traveler from 3020,Laura Clark,He revealed in an interview that he came from the year 3020 to warn humanity about future wars.,1
145,Stock markets hit record highs amid tech boom,Olivia Walker,Experts say the stock market growth is due to innovation in the technology sector.,0
146,Local schools adopt AI-based learning programs,Emily Johnson,"The discovery adds to the biodiversity of the Amazon, researchers say.",0
147,Local schools adopt AI-based learning programs,Michael Brown,NASA confirmed that the new exoplanet discovered is located 300 light-years away and has similar conditions to Earth.,0
148,NASA discovers new exoplanet similar to Earth,Laura Clark,Schools are now integrating AI models to enhance personalized education for students.,0
149,Government hiding evidence of UFO crash,David Wilson,He revealed in an interview that he came from the year 3020 to warn humanity about future wars.,1
150,Celebrity claims to be time traveler from 3020,Emily Johnson,Eyewitnesses report bright lights and strange figures in the city sky last night.,1
151,Cure for cancer found using secret ancient herb,James Lewis,He revealed in an interview that he came from the year 3020 to warn humanity about future wars.,1
152,Aliens spotted in downtown New York,Sarah Davis,Eyewitnesses report bright lights and strange figures in the city sky last night.,1
153,Aliens spotted in downtown New York,Emily Johnson,The herb has been kept secret by monks for centuries and can heal any disease instantly.,1
154,Government hiding evidence of UFO crash,Olivia Walker,The herb has been kept secret by monks for centuries and can heal any disease instantly.,1
155,Cure for cancer found using secret ancient herb,Laura Clark,He revealed in an interview that he came from the year 3020 to warn humanity about future wars.,1
156,NASA discovers new exoplanet similar to Earth,John Smith,Experts say the stock market growth is due to innovation in the technology sector.,0
157,Government hiding evidence of UFO crash,Laura Clark,Scientists now admit that all space missions were staged and Earth is indeed flat.,1
158,Cure for cancer found using secret ancient herb,John Smith,Scientists now admit that all space missions were staged and Earth is indeed flat.,1
159,Local schools adopt AI-based learning programs,John Smith,Schools are now integrating AI models to enhance personalized education for students.,0
160,Celebrity claims to be time traveler from 3020,John Smith,Scientists now admit that all space missions were staged and Earth is indeed flat.,1
161,Stock markets hit record highs amid tech boom,David Wilson,The recent policy changes have been aimed at improving the overall efficiency of the healthcare system.,0
162,Government hiding evidence of UFO crash,Michael Brown,He revealed in an interview that he came from the year 3020 to warn humanity about future wars.,1
163,Government announces new healthcare reform,John Smith,NASA confirmed that the new exoplanet discovered is located 300 light-years away and has similar conditions to Earth.,0
164,Government announces new healthcare reform,Olivia Walker,NASA confirmed that the new exoplanet discovered is located 300 light-years away and has similar conditions to Earth.,0
165,Government announces new healthcare reform,Sarah Davis,Schools are now integrating AI models to enhance personalized education for students.,0
166,Local schools adopt AI-based learning programs,James Lewis,The recent policy changes have been aimed at improving the overall efficiency of the healthcare system.,0
167,Local schools adopt AI-based learning programs,David Wilson,The recent policy changes have been aimed at improving the overall efficiency of the healthcare system.,0
168,Cure for cancer found using secret ancient herb,Laura Clark,He revealed in an interview that he came from the year 3020 to warn humanity about future wars.,1
169,Celebrity claims to be time traveler from 3020,John Smith,He revealed in an interview that he came from the year 3020 to warn humanity about future wars.,1
170,Cure for cancer found using secret ancient herb,James Lewis,A leaked document reveals that the government has hidden alien spacecraft since the 1950s.,1
171,Local schools adopt AI-based learning programs,Emily Johnson,NASA confirmed that the new exoplanet discovered is located 300 light-years away and has similar conditions to Earth.,0
172,Celebrity claims to be time traveler from 3020,Olivia Walker,The herb has been kept secret by monks for centuries and can heal any disease instantly.,1
173,Government announces new healthcare reform,Olivia Walker,"The discovery adds to the biodiversity of the Amazon, researchers say.",0
174,Celebrity claims to be time traveler from 3020,Laura Clark,The herb has been kept secret by monks for centuries and can heal any disease instantly.,1
175,Government announces new healthcare reform,James Lewis,NASA confirmed that the new exoplanet discovered is located 300 light-years away and has similar conditions to Earth.,0
176,Government hiding evidence of UFO crash,John Smith,The herb has been kept secret by monks for centuries and can heal any disease instantly.,1
177,Cure for cancer found using secret ancient herb,James Lewis,A leaked document reveals that the government has hidden alien spacecraft since the 1950s.,1
178,NASA discovers new exoplanet similar to Earth,Olivia Walker,The recent policy changes have been aimed at improving the overall efficiency of the healthcare system.,0
179,Stock markets hit record highs amid tech boom,James Lewis,NASA confirmed that the new exoplanet discovered is located 300 light-years away and has similar conditions to Earth.,0
180,Government announces new healthcare reform,James Lewis,NASA confirmed that the new exoplanet discovered is located 300 light-years away and has similar conditions to Earth.,0
181,Stock markets hit record highs amid tech boom,Emily Johnson,Experts say the stock market growth is due to innovation in the technology sector.,0
182,Stock markets hit record highs amid tech boom,Olivia Walker,The recent policy changes have been aimed at improving the overall efficiency of the healthcare system.,0
183,Aliens spotted in downtown New York,Olivia Walker,A leaked document reveals that the government has hidden alien spacecraft since the 1950s.,1
184,Celebrity claims to be time traveler from 3020,James Lewis,The herb has been kept secret by monks for centuries and can heal any disease instantly.,1
185,NASA discovers new exoplanet similar to Earth,Olivia Walker,NASA confirmed that the new exoplanet discovered is located 300 light-years away and has similar conditions to Earth.,0
186,Government announces new healthcare reform,Sarah Davis,Experts say the stock market growth is due to innovation in the technology sector.,0
187,Stock markets hit record highs amid tech boom,Michael Brown,The recent policy changes have been aimed at improving the overall efficiency of the healthcare system.,0
188,Local schools adopt AI-based learning programs,Emily Johnson,"The discovery adds to the biodiversity of the Amazon, researchers say.",0
189,Aliens spotted in downtown New York,Sarah Davis,A leaked document reveals that the government has hidden alien spacecraft since the 1950s.,1
190,New species of bird discovered in the Amazon rainforest,Michael Brown,"The discovery adds to the biodiversity of the Amazon, researchers say.",0
191,NASA discovers new exoplanet similar to Earth,David Wilson,"The discovery adds to the biodiversity of the Amazon, researchers say.",0
192,Stock markets hit record highs amid tech boom,David Wilson,"The discovery adds to the biodiversity of the Amazon, researchers say.",0
193,Stock markets hit record highs amid tech boom,Emily Johnson,NASA confirmed that the new exoplanet discovered is located 300 light-years away and has similar conditions to Earth.,0
194,Scientists confirm Earth is flat again,Laura Clark,A leaked document reveals that the government has hidden alien spacecraft since the 1950s.,1
195,NASA discovers new exoplanet similar to Earth,David Wilson,NASA confirmed that the new exoplanet discovered is located 300 light-years away and has similar conditions to Earth.,0
196,Celebrity claims to be time traveler from 3020,Emily Johnson,Eyewitnesses report bright lights and strange figures in the city sky last night.,1
197,Stock markets hit record highs amid tech boom,John Smith,Schools are now integrating AI models to enhance personalized education for students.,0
198,Scientists confirm Earth is flat again,Sarah Davis,The herb has been kept secret by monks for centuries and can heal any disease instantly.,1
199,Scientists confirm Earth is flat again,Olivia Walker,Eyewitnesses report bright lights and strange figures in the city sky last night.,1
200,Cure for cancer found using secret ancient herb,Laura Clark,Scientists now admit that all space missions were staged and Earth is indeed flat.,1
201,Government hiding evidence of UFO crash,John Smith,Eyewitnesses report bright lights and strange figures in the city sky last night.,1
202,Government hiding evidence of UFO crash,Laura Clark,He revealed in an interview that he came from the year 3020 to warn humanity about future wars.,1
203,Scientists confirm Earth is flat again,Olivia Walker,He revealed in an interview that he came from the year 3020 to warn humanity about future wars.,1
204,Aliens spotted in downtown New York,James Lewis,The herb has been kept secret by monks for centuries and can heal any disease instantly.,1
205,New species of bird discovered in the Amazon rainforest,John Smith,Schools are now integrating AI models to enhance personalized education for students.,0
206,NASA discovers new exoplanet similar to Earth,Sarah Davis,NASA confirmed that the new exoplanet discovered is located 300 light-years away and has similar conditions to Earth.,0
207,Stock markets hit record highs amid tech boom,Olivia Walker,NASA confirmed that the new exoplanet discovered is located 300 light-years away and has similar conditions to Earth.,0
208,Cure for cancer found using secret ancient herb,Michael Brown,Scientists now admit that all space missions were staged and Earth is indeed flat.,1
209,Aliens spotted in downtown New York,John Smith,He revealed in an interview that he came from the year 3020 to warn humanity about future wars.,1
210,Celebrity claims to be time traveler from 3020,Emily Johnson,Scientists now admit that all space missions were staged and Earth is indeed flat.,1
211,NASA discovers new exoplanet similar to Earth,James Lewis,NASA confirmed that the new exoplanet discovered is located 300 light-years away and has similar conditions to Earth.,0
212,Aliens spotted in downtown New York,Sarah Davis,The herb has been kept secret by monks for centuries and can heal any disease instantly.,1
213,Stock markets hit record highs amid tech boom,Michael Brown,"The discovery adds to the biodiversity of the Amazon, researchers say.",0
214,Celebrity claims to be time traveler from 3020,Laura Clark,Eyewitnesses report bright lights and strange figures in the city sky last night.,1
215,Government announces new healthcare reform,Sarah Davis,Experts say the stock market growth is due to innovation in the technology sector.,0
216,Aliens spotted in downtown New York,Sarah Davis,He revealed in an interview that he came from the year 3020 to warn humanity about future wars.,1
217,Cure for cancer found using secret ancient herb,John Smith,He revealed in an interview that he came from the year 3020 to warn humanity about future wars.,1
218,Cure for cancer found using secret ancient herb,Michael Brown,Scientists now admit that all space missions were staged and Earth is indeed flat.,1
219,Celebrity claims to be time traveler from 3020,Laura Clark,Eyewitnesses report bright lights and strange figures in the city sky last night.,1
220,NASA discovers new exoplanet similar to Earth,Emily Johnson,Schools are now integrating AI models to enhance personalized education for students.,0
221,Stock markets hit record highs amid tech boom,John Smith,Experts say the stock market growth is due to innovation in the technology sector.,0
222,Cure for cancer found using secret ancient herb,James Lewis,The herb has been kept secret by monks for centuries and can heal any disease instantly.,1
223,Aliens spotted in downtown New York,David Wilson,He revealed in an interview that he came from the year 3020 to warn humanity about future wars.,1
224,Government hiding evidence of UFO crash,Michael Brown,A leaked document reveals that the government has hidden alien spacecraft since the 1950s.,1
225,New species of bird discovered in the Amazon rainforest,Michael Brown,Schools are now integrating AI models to enhance personalized education for students.,0
226,Aliens spotted in downtown New York,Olivia Walker,Scientists now admit that all space missions were staged and Earth is indeed flat.,1
227,New species of bird discovered in the Amazon rainforest,Olivia Walker,The recent policy changes have been aimed at improving the overall efficiency of the healthcare system.,0
228,Celebrity claims to be time traveler from 3020,Olivia Walker,The herb has been kept secret by monks for centuries and can heal any disease instantly.,1
229,Local schools adopt AI-based learning programs,Emily Johnson,Schools are now integrating AI models to enhance personalized education for students.,0
230,Aliens spotted in downtown New York,Sarah Davis,The herb has been kept secret by monks for centuries and can heal any disease instantly.,1
231,New species of bird discovered in the Amazon rainforest,Olivia Walker,NASA confirmed that the new exoplanet discovered is located 300 light-years away and has similar conditions to Earth.,0
232,New species of bird discovered in the Amazon rainforest,Sarah Davis,Experts say the stock market growth is due to innovation in the technology sector.,0
233,New species of bird discovered in the Amazon rainforest,Olivia Walker,NASA confirmed that the new exoplanet discovered is located 300 light-years away and has similar conditions to Earth.,0
234,Local schools adopt AI-based learning programs,Laura Clark,Experts say the stock market growth is due to innovation in the technology sector.,0
235,Aliens spotted in downtown New York,Sarah Davis,A leaked document reveals that the government has hidden alien spacecraft since the 1950s.,1
236,Aliens spotted in downtown New York,Emily Johnson,Scientists now admit that all space missions were staged and Earth is indeed flat.,1
237,Government hiding evidence of UFO crash,David Wilson,He revealed in an interview that he came from the year 3020 to warn humanity about future wars.,1
238,Stock markets hit record highs amid tech boom,Laura Clark,NASA confirmed that the new exoplanet discovered is located 300 light-years away and has similar conditions to Earth.,0
239,Aliens spotted in downtown New York,Michael Brown,The herb has been kept secret by monks for centuries and can heal any disease instantly.,1
240,NASA discovers new exoplanet similar to Earth,David Wilson,The recent policy changes have been aimed at improving the overall efficiency of the healthcare system.,0
241,Celebrity claims to be time traveler from 3020,James Lewis,The herb has been kept secret by monks for centuries and can heal any disease instantly.,1
242,Government announces new healthcare reform,Michael Brown,"The discovery adds to the biodiversity of the Amazon, researchers say.",0
243,Cure for cancer found using secret ancient herb,Sarah Davis,A leaked document reveals that the government has hidden alien spacecraft since the 1950s.,1
244,NASA discovers new exoplanet similar to Earth,Olivia Walker,"The discovery adds to the biodiversity of the Amazon, researchers say.",0
245,Government hiding evidence of UFO crash,John Smith,Eyewitnesses report bright lights and strange figures in the city sky last night.,1
246,Aliens spotted in downtown New York,David Wilson,Scientists now admit that all space missions were staged and Earth is indeed flat.,1
247,NASA discovers new exoplanet similar to Earth,Laura Clark,The recent policy changes have been aimed at improving the overall efficiency of the healthcare system.,0
248,Cure for cancer found using secret ancient herb,Olivia Walker,Eyewitnesses report bright lights and strange figures in the city sky last night.,1
249,New species of bird discovered in the Amazon rainforest,David Wilson,Schools are now integrating AI models to enhance personalized education for students.,0
